idCampagne,campagne,idRegion,libelleRegion,idSecteur,libelleSecteur,idGroupement,libelleGroupement,S_Prevu,S_realise,TonnagePrevu,TonnageRealise,TonnageEvacue,TonnageAchete,TonnagePaye,NetAPaye,MontantPaye,Credit,RemboursementCredit,Arriere,RemboursementArriere
11.0,2021/2022,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,117.0,122.0,232000,224780,224780,436956,436956,31682290,31682290,80678700,76731990,1678021,0
12.0,2022/2023,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,152.0,152.0,235000,210120,210120,205870,205870,23765280,23765280,176870675,176870675,9907045,3428064
10.0,2020/2021,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,142.0,142.0,206000,173460,173460,0,0,0,0,84610770,84610770,2904833,220000
1.0,2011/2012,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,0.0,0.0,0,0,0,0,0,0,0,116130940,15586300,23488550,45475
1.0,2011/2012,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,0.0,0.0,0,0,0,0,0,0,0,72589900,49288350,30657000,2614825
10.0,2020/2021,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,55.0,57.0,94000,100680,100680,0,0,0,0,23321860,23321860,18259274,43300
12.0,2022/2023,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,85.0,90.0,165000,127860,127860,124808,124808,15013095,15013095,41214660,41214660,20881108,118500
11.0,2021/2022,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,63.0,66.0,125000,167200,167200,321034,321034,27946935,27946935,28118920,28118920,21859168,978060
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,66.0,66.0,100000,109100,109100,105253,105253,9728845,9728845,42048900,42048900,13841739,6840
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233067,BAIKWA 3,53.0,59.0,105000,73960,73960,72211,72211,6779365,6779365,29050220,29050220,13834899,8400
