Année,Région,Type_sol,S_Prevu,S_realise,Taux_realisation,Ecart_surface,Nb_Planteurs_region,Pluie_Annuelle_mm,Pluie_cycle_mm,Pluie_0_30j_mm,Pluie_30_60j_mm,Pluie_60_90j_mm,Pluie_90_120j_mm,Formule_NPKSB,NPKSB_kg_ha,Uree_kg_ha,ZnSO4_kg_ha,NPKSB_total_kg,Uree_total_kg,ZnSO4_total_kg,Credit_intrant_ha_FCFA,Credit_intrant_total_FCFA,Rdt_region_kg_ha,Production_region_T
2025,Ngong,"Sols ferrugineux tropicaux sableux, peu profonds",27611.0,27562.0,0.9982,-49.0,,,,,,,,15.20.15.5.1,300,100,8,8268600,2756200,220496.0,,,,
2013,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,18045.0,14240.0,0.7891,-3805.0,15527.0,778.0,,,,,,22.23.15.5.1,300,0,8,4272000,0,113920.0,137640.0,1959987661.0,1189.0,16929.2
2014,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,13658.0,13209.5,0.9672,-448.5,12862.0,988.0,474.0,47.0,199.0,228.0,0.0,22.23.15.5.1,300,0,8,3962850,0,105676.0,140968.0,1862111549.0,1407.0,18583.2
2015,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,13059.0,12388.0,0.9486,-671.0,12336.0,669.0,664.0,73.0,74.0,174.0,219.0,22.23.15.5.1,300,0,8,3716400,0,99104.0,142114.0,1760512967.0,1241.0,15375.6
2016,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,11876.0,12712.0,1.0704,836.0,11782.0,504.0,660.0,90.0,110.0,159.0,202.0,22.23.15.5.1,300,0,8,3813600,0,101696.0,139122.0,1768525137.0,1318.0,16750.0
2017,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,14186.0,14036.0,0.9894,-150.0,11704.0,835.0,822.0,116.0,118.0,306.0,168.0,22.23.15.5.1,300,0,8,4210800,0,112288.0,143108.0,2008669508.0,1395.0,19581.8
2018,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,14872.0,14609.0,0.9823,-263.0,11435.0,782.0,778.0,144.0,179.0,133.0,233.0,22.23.15.5.1,300,0,8,4382700,0,116872.0,148701.0,2172376255.0,1584.0,23137.9
2019,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,15363.0,16336.0,1.0633,973.0,13059.0,1162.0,1067.0,174.0,207.0,293.0,285.0,22.23.15.5.1,300,0,8,4900800,0,130688.0,138205.0,2257714004.0,1468.0,23977.7
2020,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,19258.0,18187.0,0.9444,-1071.0,14656.0,782.0,808.0,70.0,141.0,245.0,195.0,22.23.15.5.1,300,0,8,5456100,0,145496.0,139320.0,2533808527.0,1603.0,29162.3
2021,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,16888.0,18186.0,1.0769,1298.0,12682.0,1033.0,1015.0,56.0,141.0,297.0,352.0,22.23.15.5.1,300,0,8,5455800,0,145488.0,133888.0,2434892146.0,1601.0,29110.0
2022,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,19651.0,18233.0,0.9278,-1418.0,12199.0,,,,,,,22.23.15.5.1,300,0,8,5469900,0,145864.0,156551.0,2854391195.0,,
2023,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,15176.0,19044.25,1.2549,3868.25,,,,,,,,22.23.15.5.1,300,0,8,5713275,0,152354.0,,,,
2024,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,16810.0,12880.0,0.7662,-3930.0,,1065.0,,,,,,22.23.15.5.1,300,0,8,3864000,0,103040.0,,,,
2025,Tchatibali,Sols ferrugineux tropicaux graveleux sur granite,10822.0,8862.0,0.8189,-1960.0,,,,,,,,22.23.15.5.1,300,0,8,2658600,0,70896.0,,,,
2012,Touboro,"Sols ferrugineux tropicaux, localement vertiques",18815.75,18170.0,0.9657,-645.75,19501.0,1628.0,,,,,,15.20.15.5.1,300,100,8,5451000,1817000,145360.0,133211.0,2420445121.0,1137.0,20653.3
2013,Touboro,"Sols ferrugineux tropicaux, localement vertiques",15791.0,15650.0,0.9911,-141.0,17064.0,1232.0,,,,,,15.20.15.5.1,300,100,8,4695000,1565000,125200.0,137640.0,2154059473.0,1164.0,18218.7
2014,Touboro,"Sols ferrugineux tropicaux, localement vertiques",17710.0,17543.0,0.9906,-167.0,17082.0,1413.0,593.0,79.0,240.0,274.0,0.0,15.20.15.5.1,300,100,8,5262900,1754300,140344.0,140968.0,2472994656.0,1384.0,24273.8
2015,Touboro,"Sols ferrugineux tropicaux, localement vertiques",16473.0,18848.0,1.1442,2375.0,18768.0,2009.0,1848.0,145.0,336.0,667.0,468.0,15.20.15.5.1,300,100,8,5654400,1884800,150784.0,142114.0,2678571876.0,1168.0,22018.7
2016,Touboro,"Sols ferrugineux tropicaux, localement vertiques",15033.0,14466.0,0.9623,-567.0,13407.0,947.0,1026.0,176.0,205.0,330.0,200.0,15.20.15.5.1,300,100,8,4339800,1446600,115728.0,139122.0,2012545991.0,1294.0,18712.3
2017,Touboro,"Sols ferrugineux tropicaux, localement vertiques",10609.0,11908.0,1.1224,1299.0,9929.0,1573.0,1515.0,253.0,308.0,305.0,358.0,15.20.15.5.1,300,100,8,3572400,1190800,95264.0,143108.0,1704134832.0,1355.0,16134.6
2018,Touboro,"Sols ferrugineux tropicaux, localement vertiques",16312.0,16588.0,1.0169,276.0,12984.0,1184.0,1092.0,106.0,269.0,295.0,288.0,15.20.15.5.1,300,100,8,4976400,1658800,132704.0,148701.0,2466655988.0,1562.0,25909.3
2019,Touboro,"Sols ferrugineux tropicaux, localement vertiques",14037.0,19619.75,1.3977,5582.75,15684.0,1532.0,1212.0,196.0,219.0,201.0,367.0,15.20.15.5.1,300,100,8,5885925,1961975,156958.0,138205.0,2711544094.0,1448.0,28402.3
2020,Touboro,"Sols ferrugineux tropicaux, localement vertiques",19476.75,19787.0,1.0159,310.25,15945.0,1276.0,1167.0,165.0,233.0,287.0,267.0,15.20.15.5.1,300,100,8,5936100,1978700,158296.0,139320.0,2756720147.0,1577.0,31195.7
2021,Touboro,"Sols ferrugineux tropicaux, localement vertiques",20154.0,21193.0,1.0516,1039.0,14779.0,1245.0,1061.0,158.0,265.0,233.0,254.0,15.20.15.5.1,300,100,8,6357900,2119300,169544.0,133888.0,2837494186.0,1589.0,33678.7
2022,Touboro,"Sols ferrugineux tropicaux, localement vertiques",22740.0,25267.0,1.1111,2527.0,16905.0,,,,,,,15.20.15.5.1,300,100,8,7580100,2526700,202136.0,156551.0,3955569699.0,,
2023,Touboro,"Sols ferrugineux tropicaux, localement vertiques",24908.0,25425.0,1.0208,517.0,,,,,,,,15.20.15.5.1,300,100,8,7627500,2542500,203400.0,,,,
2024,Touboro,"Sols ferrugineux tropicaux, localement vertiques",24050.0,24260.0,1.0087,210.0,,1230.0,,,,,,15.20.15.5.1,300,100,8,7278000,2426000,194080.0,,,,
2025,Touboro,"Sols ferrugineux tropicaux, localement vertiques",21071.0,21557.0,1.0231,486.0,,,,,,,,15.20.15.5.1,300,100,8,6467100,2155700,172456.0,,,,
