Année,Mois,Station,Pluie_mm
2019,4,Mayo Galké,21.0
2019,4,Ngong,48.0
2019,4,Poli,81.0
2019,4,Tchatibali,3.0
2019,4,Touboro,30.0
2019,5,Garoua,74.0
2019,5,Guider,99.0
2019,5,Homé,320.0
2019,5,Kaélé,92.0
2019,5,Maroua,116.0
2019,5,Mayo Galké,202.0
2019,5,Ngong,95.0
2019,5,Poli,218.0
2019,5,Tchatibali,73.0
2019,5,Touboro,169.0
2019,6,Garoua,234.0
2019,6,Guider,148.0
2019,6,Homé,268.0
2019,6,Kaélé,120.0
2019,6,Maroua,65.0
2019,6,Mayo Galké,142.0
2019,6,Ngong,195.0
2019,6,Poli,245.0
2019,6,Tchatibali,224.0
2019,6,Touboro,262.0
2019,7,Garoua,183.0
2019,7,Guider,160.0
2019,7,Homé,321.0
2019,7,Kaélé,159.0
2019,7,Maroua,172.0
2019,7,Mayo Galké,248.0
2019,7,Ngong,143.0
2019,7,Poli,342.0
2019,7,Tchatibali,209.0
2019,7,Touboro,233.0
2019,8,Garoua,174.0
2019,8,Guider,212.0
2019,8,Homé,262.0
2019,8,Kaélé,365.0
2019,8,Maroua,420.0
2019,8,Mayo Galké,281.0
2019,8,Ngong,288.0
2019,8,Poli,242.0
2019,8,Tchatibali,422.0
2019,8,Touboro,215.0
2019,9,Garoua,184.0
2019,9,Guider,119.0
2019,9,Homé,323.0
2019,9,Kaélé,154.0
2019,9,Maroua,78.0
2019,9,Mayo Galké,289.0
2019,9,Ngong,233.0
2019,9,Poli,305.0
2019,9,Tchatibali,111.0
2019,9,Touboro,375.0
2019,10,Garoua,169.0
2019,10,Guider,141.0
2019,10,Homé,235.0
2019,10,Kaélé,159.0
2019,10,Maroua,244.0
2019,10,Mayo Galké,233.0
2019,10,Ngong,186.0
2019,10,Poli,225.0
2019,10,Tchatibali,118.0
2019,10,Touboro,241.0
2019,11,Poli,4.0
2020,3,Homé,5.0
2020,3,Kaélé,1.0
2020,3,Maroua,17.0
2020,3,Mayo Galké,13.0
2020,3,Poli,5.0
2020,3,Tchatibali,3.0
2020,3,Touboro,1.0
2020,4,Guider,4.0
2020,4,Homé,59.0
2020,4,Maroua,1.0
2020,4,Mayo Galké,57.0
2020,4,Ngong,12.0
2020,4,Poli,58.0
2020,4,Tchatibali,4.0
2020,4,Touboro,111.0
2020,5,Garoua,51.0
2020,5,Guider,74.0
2020,5,Homé,61.0
2020,5,Kaélé,81.0
2020,5,Maroua,18.0
2020,5,Mayo Galké,93.0
2020,5,Ngong,43.0
2020,5,Poli,177.0
2020,5,Tchatibali,62.0
2020,5,Touboro,141.0
2020,6,Garoua,132.0
2020,6,Guider,176.0
2020,6,Homé,162.0
2020,6,Kaélé,90.0
2020,6,Maroua,205.0
2020,6,Mayo Galké,133.0
2020,6,Ngong,162.0
2020,6,Poli,260.0
2020,6,Tchatibali,108.0
2020,6,Touboro,232.0
2020,7,Garoua,169.0
2020,7,Guider,133.0
2020,7,Homé,242.0
2020,7,Kaélé,255.0
2020,7,Maroua,151.0
2020,7,Mayo Galké,220.0
2020,7,Ngong,178.0
2020,7,Poli,344.0
2020,7,Tchatibali,184.0
2020,7,Touboro,262.0
2020,8,Garoua,74.0
2020,8,Guider,129.0
2020,8,Homé,138.0
2020,8,Kaélé,252.0
2020,8,Maroua,325.0
2020,8,Mayo Galké,198.0
2020,8,Ngong,147.0
2020,8,Poli,121.0
2020,8,Tchatibali,263.0
2020,8,Touboro,244.0
2020,9,Garoua,257.0
2020,9,Guider,214.0
2020,9,Homé,249.0
2020,9,Kaélé,207.0
2020,9,Maroua,297.0
2020,9,Mayo Galké,195.0
2020,9,Ngong,155.0
2020,9,Poli,248.0
2020,9,Tchatibali,158.0
2020,9,Touboro,285.0
2020,10,Garoua,72.0
2020,10,Guider,36.0
2020,10,Homé,33.0
2020,10,Kaélé,62.0
2020,10,Maroua,35.0
2020,10,Mayo Galké,41.0
2020,10,Ngong,61.0
2020,10,Poli,102.0
2020,10,Tchatibali,46.0
2020,10,Touboro,169.0
2020,11,Homé,27.0
2021,3,Garoua,15.0
2021,3,Homé,26.0
2021,3,Mayo Galké,14.0
2021,3,Poli,31.0
2021,3,Touboro,21.0
2021,4,Garoua,80.0
2021,4,Guider,3.0
2021,4,Homé,109.0
2021,4,Maroua,8.0
2021,4,Mayo Galké,30.0
2021,4,Ngong,27.0
2021,4,Poli,52.0
2021,4,Touboro,46.0
2021,5,Garoua,71.0
2021,5,Guider,90.0
2021,5,Homé,84.0
2021,5,Kaélé,64.0
2021,5,Maroua,26.0
2021,5,Mayo Galké,91.0
2021,5,Ngong,49.0
2021,5,Poli,206.0
2021,5,Tchatibali,15.0
2021,5,Touboro,127.0
2021,6,Garoua,216.0
2021,6,Guider,148.0
2021,6,Homé,167.0
2021,6,Kaélé,95.0
2021,6,Maroua,117.0
2021,6,Mayo Galké,136.0
2021,6,Ngong,115.0
2021,6,Poli,234.0
2021,6,Tchatibali,112.0
2021,6,Touboro,262.0
2021,7,Garoua,248.0
2021,7,Guider,213.0
2021,7,Homé,238.0
2021,7,Kaélé,164.0
2021,7,Maroua,421.0
2021,7,Mayo Galké,219.0
2021,7,Ngong,260.0
2021,7,Poli,231.0
2021,7,Tchatibali,161.0
2021,7,Touboro,221.0
2021,8,Garoua,345.0
2021,8,Guider,417.0
2021,8,Homé,340.0
2021,8,Kaélé,327.0
2021,8,Maroua,188.0
2021,8,Mayo Galké,344.0
2021,8,Ngong,287.0
2021,8,Poli,390.0
2021,8,Tchatibali,549.0
2021,8,Touboro,253.0
2021,9,Garoua,161.0
2021,9,Guider,136.0
2021,9,Homé,357.0
2021,9,Kaélé,159.0
2021,9,Maroua,131.0
2021,9,Mayo Galké,221.0
2021,9,Ngong,88.0
2021,9,Poli,162.0
2021,9,Tchatibali,193.0
2021,9,Touboro,242.0
2021,10,Garoua,49.0
2021,10,Guider,70.0
2021,10,Homé,72.0
2021,10,Kaélé,3.0
2021,10,Maroua,27.0
2021,10,Mayo Galké,67.0
2021,10,Ngong,101.0
2021,10,Poli,64.0
2021,10,Tchatibali,17.0
2021,10,Touboro,68.0
