Date,Station,Pluie_mm
2015-07-13,Guider,6.0
2015-07-15,Guider,4.0
2015-07-17,Guider,30.0
2015-07-21,Guider,17.0
2015-07-22,Guider,7.0
2015-07-28,Guider,18.0
2015-07-30,Guider,28.0
2015-08-01,Guider,13.0
2015-08-05,Guider,22.0
2015-08-08,Guider,16.0
2015-08-09,Guider,56.0
2015-08-11,Guider,9.0
2015-08-13,Guider,5.0
2015-08-15,Guider,6.0
2015-08-16,Guider,11.0
2015-08-18,Guider,16.0
2015-08-20,Guider,2.0
2015-08-21,Guider,17.0
2015-08-23,Guider,36.0
2015-08-26,Guider,36.0
2015-08-27,Guider,42.0
2015-08-28,Guider,26.0
2015-08-29,Guider,18.0
2015-08-30,Guider,12.0
2015-08-31,Guider,9.0
2015-09-03,Guider,5.0
2015-09-04,Guider,18.0
2015-09-06,Guider,18.0
2015-09-08,Guider,4.0
2015-09-10,Guider,66.0
2015-09-11,Guider,2.0
2015-09-14,Guider,30.0
2015-09-15,Guider,1.0
2015-09-20,Guider,11.0
2015-09-23,Guider,15.0
2015-09-27,Guider,3.0
2015-10-01,Guider,5.0
2015-10-03,Guider,8.0
2015-10-04,Guider,4.0
2015-10-08,Guider,13.0
2015-10-10,Guider,7.0
2015-10-11,Guider,13.0
2015-10-17,Guider,11.0
2015-10-25,Guider,6.0
2015-10-31,Guider,14.0
2015-11-01,Guider,1.0
2016-03-17,Guider,17.0
2016-04-09,Guider,2.0
2016-04-25,Guider,5.0
2016-05-02,Guider,3.0
2016-05-03,Guider,5.0
2016-05-04,Guider,3.0
2016-05-07,Guider,6.0
2016-05-08,Guider,4.0
2016-05-14,Guider,41.0
2016-05-17,Guider,5.0
2016-05-19,Guider,8.0
2016-05-24,Guider,20.0
2016-05-27,Guider,14.0
2016-06-06,Guider,21.0
2016-06-11,Guider,3.0
2016-06-15,Guider,4.0
2016-06-19,Guider,1.0
2016-06-22,Guider,19.0
2016-06-24,Guider,3.0
2016-06-26,Guider,16.0
2016-07-01,Guider,12.0
2016-07-05,Guider,20.0
2016-07-10,Guider,2.0
2016-07-13,Guider,10.0
2016-07-15,Guider,9.0
2016-07-17,Guider,8.0
2016-07-18,Guider,8.0
2016-07-21,Guider,5.0
2016-07-22,Guider,13.0
2016-07-26,Guider,35.0
2016-07-28,Guider,24.0
2016-07-29,Guider,3.0
2016-08-01,Guider,47.0
2016-08-02,Guider,4.0
2016-08-04,Guider,26.0
2016-08-05,Guider,1.0
2016-08-07,Guider,3.0
2016-08-08,Guider,8.0
2016-08-09,Guider,2.0
2016-08-10,Guider,6.0
2016-08-12,Guider,32.0
2016-08-14,Guider,2.0
2016-08-18,Guider,15.0
2016-08-23,Guider,22.0
2016-08-28,Guider,5.0
2016-08-29,Guider,11.0
2016-08-30,Guider,62.0
2016-09-01,Guider,7.0
2016-09-05,Guider,12.0
2016-09-06,Guider,2.0
2016-09-09,Guider,16.0
2016-09-13,Guider,6.0
2016-09-15,Guider,49.0
2016-09-16,Guider,12.0
2016-09-18,Guider,7.0
2016-09-20,Guider,33.0
2016-09-22,Guider,27.0
2016-10-05,Guider,14.0
2016-10-06,Guider,5.0
2016-10-12,Guider,2.0
2016-10-18,Guider,33.0
2017-04-11,Guider,4.0
2017-04-12,Guider,4.0
2017-04-27,Guider,3.0
2017-05-05,Guider,3.0
2017-05-08,Guider,10.0
2017-05-14,Guider,4.0
2017-05-15,Guider,4.0
2017-05-19,Guider,3.0
2017-05-20,Guider,5.0
2017-05-24,Guider,34.0
2017-05-25,Guider,14.0
2017-06-03,Guider,22.0
2017-06-07,Guider,7.0
2017-06-18,Guider,47.0
2017-06-27,Guider,23.0
2017-07-03,Guider,4.0
2017-07-04,Guider,3.0
2017-07-07,Guider,8.0
2017-07-08,Guider,8.0
2017-07-10,Guider,18.0
2017-07-11,Guider,11.0
2017-07-14,Guider,26.0
2017-07-21,Guider,26.0
2017-07-26,Guider,10.0
2017-07-30,Guider,6.0
2017-08-03,Guider,31.0
2017-08-08,Guider,1.0
2017-08-11,Guider,1.0
2017-08-13,Guider,7.0
2017-08-16,Guider,6.0
2017-08-20,Guider,23.0
2017-08-22,Guider,55.0
2017-08-24,Guider,2.0
2017-08-27,Guider,25.0
2017-08-29,Guider,2.0
2017-08-31,Guider,1.0
2017-09-01,Guider,4.0
2017-09-06,Guider,8.0
2017-09-07,Guider,15.0
2017-09-10,Guider,9.0
2017-09-15,Guider,10.0
2017-09-17,Guider,26.0
2017-09-19,Guider,23.0
2017-09-21,Guider,1.0
2017-09-23,Guider,23.0
2017-09-29,Guider,8.0
2017-10-03,Guider,3.0
2017-10-11,Guider,1.0
2018-04-14,Guider,6.0
2018-04-22,Guider,6.0
2018-04-24,Guider,12.0
2018-05-02,Guider,7.0
2018-05-04,Guider,7.0
2018-05-07,Guider,15.0
2018-05-12,Guider,1.0
2018-05-14,Guider,5.0
2018-05-17,Guider,17.0
2018-05-26,Guider,2.0
2018-05-28,Guider,19.0
2018-06-02,Guider,7.0
2018-06-06,Guider,12.0
2018-06-09,Guider,9.0
2018-06-10,Guider,10.0
2018-06-13,Guider,14.0
2018-06-16,Guider,18.0
2018-06-17,Guider,2.0
2018-06-19,Guider,3.0
2018-06-24,Guider,20.0
2018-07-01,Guider,37.0
2018-07-09,Guider,32.0
2018-07-16,Guider,32.0
2018-07-19,Guider,14.0
2018-07-21,Guider,2.0
2018-07-23,Guider,2.0
2018-08-01,Guider,58.0
2018-08-02,Guider,13.0
2018-08-04,Guider,2.0
2018-08-05,Guider,2.0
2018-08-08,Guider,20.0
2018-08-11,Guider,12.0
2018-08-13,Guider,67.0
2018-08-16,Guider,117.0
2018-08-19,Guider,25.0
2018-08-20,Guider,27.0
2018-08-24,Guider,22.0
2018-08-28,Guider,30.0
2018-08-31,Guider,19.0
2018-09-02,Guider,1.0
2018-09-07,Guider,26.0
2018-09-09,Guider,6.0
2018-09-12,Guider,3.0
2018-09-15,Guider,10.0
2018-09-16,Guider,5.0
2018-09-19,Guider,10.0
2018-09-20,Guider,10.0
2018-09-22,Guider,11.0
2018-09-27,Guider,15.0
2018-09-30,Guider,4.0
2018-10-02,Guider,4.0
2018-10-12,Guider,17.0
2019-02-24,Guider,3.0
2019-04-22,Guider,3.0
2019-05-02,Guider,16.0
2019-05-03,Guider,2.0
2019-05-07,Guider,2.0
2019-05-09,Guider,3.0
2019-05-11,Guider,1.0
2019-05-14,Guider,1.0
2019-05-20,Guider,10.0
2019-05-26,Guider,50.0
2019-05-29,Guider,14.0
2019-06-01,Guider,4.0
2019-06-05,Guider,9.0
2019-06-07,Guider,44.0
2019-06-09,Guider,8.0
2019-06-11,Guider,23.0
2019-06-23,Guider,13.0
2019-06-25,Guider,47.0
2019-07-01,Guider,4.0
2019-07-04,Guider,10.0
2019-07-05,Guider,8.0
2019-07-07,Guider,5.0
2019-07-09,Guider,1.0
2019-07-10,Guider,19.0
2019-07-11,Guider,10.0
2019-07-14,Guider,13.0
2019-07-21,Guider,3.0
2019-07-24,Guider,35.0
2019-07-26,Guider,6.0
2019-07-28,Guider,7.0
2019-07-31,Guider,39.0
2019-08-01,Guider,3.0
2019-08-03,Guider,3.0
2019-08-04,Guider,26.0
2019-08-07,Guider,7.0
2019-08-09,Guider,3.0
2019-08-11,Guider,1.0
2019-08-12,Guider,13.0
2019-08-13,Guider,19.0
2019-08-16,Guider,19.0
2019-08-18,Guider,42.0
