Date,Station,Pluie_mm
2015-10-25,Garoua,0.0
2015-10-26,Garoua,0.0
2015-10-27,Garoua,0.0
2015-10-28,Garoua,0.0
2015-10-29,Garoua,0.0
2015-10-30,Garoua,0.0
2015-10-31,Garoua,0.0
2015-11-01,Garoua,0.0
2015-11-02,Garoua,0.0
2015-11-03,Garoua,0.0
2015-11-04,Garoua,0.0
2015-11-05,Garoua,0.0
2015-11-06,Garoua,0.0
2015-11-07,Garoua,0.0
2015-11-08,Garoua,0.0
2015-11-09,Garoua,0.0
2015-11-10,Garoua,0.0
2015-11-11,Garoua,0.0
2015-11-12,Garoua,0.0
2015-11-13,Garoua,0.0
2015-11-14,Garoua,0.0
2015-11-15,Garoua,0.0
2015-11-16,Garoua,0.0
2015-11-17,Garoua,0.0
2015-11-18,Garoua,0.0
2015-11-19,Garoua,0.0
2015-11-20,Garoua,0.0
2015-11-21,Garoua,0.0
2015-11-22,Garoua,0.0
2015-11-24,Garoua,0.0
2015-11-25,Garoua,0.0
2015-11-26,Garoua,0.0
2015-11-27,Garoua,0.0
2015-11-28,Garoua,0.0
2015-11-29,Garoua,0.0
2015-11-30,Garoua,0.0
2015-12-01,Garoua,0.0
2015-12-02,Garoua,0.0
2014-03-26,Guider,0.0
2014-03-27,Guider,7.0
2014-03-28,Guider,4.0
2014-03-29,Guider,0.0
2014-03-30,Guider,0.0
2014-03-31,Guider,0.0
2014-04-01,Guider,0.0
2014-04-02,Guider,0.0
2014-04-03,Guider,0.0
2014-04-04,Guider,0.0
2014-04-05,Guider,0.0
2014-04-06,Guider,0.0
2014-04-07,Guider,0.0
2014-04-08,Guider,0.0
2014-04-09,Guider,0.0
2014-04-10,Guider,0.0
2014-04-11,Guider,0.0
2014-04-12,Guider,0.0
2014-04-13,Guider,0.0
2014-04-14,Guider,0.0
2014-04-15,Guider,0.0
2014-04-16,Guider,0.0
2014-04-17,Guider,0.0
2014-04-18,Guider,0.0
2014-04-19,Guider,9.0
2014-04-20,Guider,0.0
2014-04-21,Guider,0.0
2014-04-22,Guider,33.0
2014-04-23,Guider,0.0
2014-04-24,Guider,0.0
2014-04-25,Guider,0.0
2014-04-26,Guider,0.0
2014-04-27,Guider,0.0
2014-04-28,Guider,0.0
2014-04-29,Guider,0.0
2014-04-30,Guider,2.0
2014-05-01,Guider,0.0
2014-05-02,Guider,0.0
2014-05-03,Guider,0.0
2014-05-04,Guider,0.0
2014-05-05,Guider,0.0
2014-05-06,Guider,0.0
2014-05-07,Guider,0.0
2014-05-08,Guider,0.0
2014-05-09,Guider,0.0
2014-05-10,Guider,0.0
2014-05-11,Guider,0.0
2014-05-12,Guider,0.0
2014-05-13,Guider,0.0
2014-05-14,Guider,0.0
2014-05-15,Guider,0.0
2014-05-16,Guider,0.0
2014-05-17,Guider,0.0
2014-05-18,Guider,0.0
2014-05-19,Guider,0.0
2014-05-20,Guider,0.0
2014-05-21,Guider,0.0
2014-05-22,Guider,0.0
2014-05-23,Guider,0.0
2014-05-24,Guider,0.0
2014-05-25,Guider,0.0
2014-05-26,Guider,0.0
2014-05-27,Guider,0.0
2014-05-28,Guider,0.0
2014-05-29,Guider,0.0
2014-05-30,Guider,0.0
2014-05-31,Guider,0.0
2014-06-01,Guider,0.0
2014-06-02,Guider,0.0
2014-06-03,Guider,0.0
2014-06-04,Guider,0.0
2014-06-05,Guider,0.0
2014-06-06,Guider,0.0
2014-06-07,Guider,0.0
2014-06-08,Guider,0.0
2014-06-09,Guider,0.0
2014-06-10,Guider,0.0
2014-06-11,Guider,0.0
2014-06-12,Guider,0.0
2014-06-13,Guider,0.0
2014-06-14,Guider,0.0
2014-06-15,Guider,0.0
2014-06-16,Guider,0.0
2014-06-17,Guider,0.0
2014-06-18,Guider,0.0
2014-06-19,Guider,0.0
2014-06-20,Guider,0.0
2014-06-21,Guider,0.0
2014-06-22,Guider,0.0
2014-06-23,Guider,0.0
2014-06-24,Guider,0.0
2014-06-25,Guider,0.0
2014-06-26,Guider,0.0
2014-06-27,Guider,0.0
2014-06-28,Guider,0.0
2014-06-29,Guider,0.0
2014-06-30,Guider,0.0
2014-07-01,Guider,0.0
2014-07-02,Guider,0.0
2014-07-03,Guider,0.0
2014-07-04,Guider,0.0
2014-07-05,Guider,0.0
2014-07-06,Guider,0.0
2014-07-07,Guider,0.0
2014-07-08,Guider,0.0
2014-07-09,Guider,0.0
2014-07-10,Guider,0.0
2014-07-11,Guider,0.0
2014-07-12,Guider,0.0
2014-07-13,Guider,0.0
2014-07-14,Guider,0.0
2014-07-15,Guider,0.0
2014-07-16,Guider,0.0
2014-07-17,Guider,0.0
2014-07-18,Guider,0.0
2014-07-19,Guider,0.0
2014-07-20,Guider,0.0
2014-07-21,Guider,0.0
2014-07-22,Guider,0.0
2014-07-23,Guider,0.0
2014-07-24,Guider,0.0
2014-07-25,Guider,0.0
2014-07-26,Guider,0.0
2014-07-27,Guider,0.0
2014-07-28,Guider,0.0
2014-07-29,Guider,0.0
2014-07-30,Guider,1.0
2014-07-31,Guider,0.0
2014-08-01,Guider,0.0
2014-08-02,Guider,0.0
2014-08-03,Guider,0.0
2014-08-04,Guider,0.0
2014-08-05,Guider,0.0
2014-08-06,Guider,0.0
2014-08-07,Guider,0.0
2014-08-08,Guider,0.0
2014-08-09,Guider,0.0
2014-08-10,Guider,0.0
2014-08-11,Guider,0.0
2014-08-12,Guider,0.0
2014-08-13,Guider,0.0
2014-08-14,Guider,0.0
2014-08-15,Guider,0.0
2014-08-16,Guider,0.0
2014-08-17,Guider,0.0
2014-08-18,Guider,0.0
2014-08-19,Guider,0.0
2014-08-20,Guider,0.0
2014-08-21,Guider,0.0
2014-08-22,Guider,0.0
2014-08-23,Guider,0.0
2014-08-24,Guider,0.0
2014-08-25,Guider,0.0
2014-08-26,Guider,0.0
2014-08-27,Guider,0.0
2014-08-28,Guider,0.0
2014-08-29,Guider,3.0
2014-08-30,Guider,0.0
2014-08-31,Guider,0.0
2014-09-01,Guider,0.0
2014-09-02,Guider,32.0
2014-09-03,Guider,3.0
2014-09-04,Guider,0.0
2014-09-05,Guider,0.0
2014-09-06,Guider,25.0
